"","rep_num","Medium.ID","sample_ID","culture_condition_ID","Strain_MG1655","Env_start","time_0.500","time_1K.5K","time_5K.10K","time_500.1K","stress_DecreasingGly_Increasing.PDO","stress_Heat","Temperature","Pert_DleuB","Carbon_Glycerol","Carbon_Glucose","Carbon_L.Lactate","Medium_M9","Medium_M63.Mod","Medium_MS.Minimal","Medium_M9.III","Supp_propanediol.g.L.","Supp_leucine.mM.","Supp_kanamycin.sulphate.ug.mL.","Gene_start","ybaL_Normal","clsA_Normal","murE_Normal","fsr_Normal","hfq_Normal","rapA_Normal","spoT_Normal","glpK_Normal","rpoS_Normal","mdtG.lpxL_Normal","groL_Normal","fucO_Normal","yoaA_Normal","hflK_Normal","nuoF_Normal","rpoB_Normal","pyrE.rph_Normal","flu_Normal","rpoC_Normal","pykF_Normal","rne_Normal","ahpC_Normal","rph_Normal","ylbE_Normal","ppsA_Normal","crp_Normal","relA_Normal","rho_Normal","proQ_Normal","xdhB_Normal","ccmH_Normal","ilvG1_Normal","prpR_Normal","aroP_Normal","hns.tdk_Normal","yegJ.yegK_Normal","ratA_Normal","grpE.nadK_Normal","cyaA_Normal","waaA_Normal","acpP_Normal","nadR_Normal","yjjK_Normal","rpoD_Normal","rfbA_Normal","dapF_Normal","pyrE_Normal","rrlD_Normal","atoS_Normal","mepS_Normal","ygaH.mprA_Normal","ykfN_Normal","yadD_Normal","ydjO_Normal","infC_Normal","mreB_Normal","rhlB_Normal","yabP_Normal","glgP_Normal","pdxK_Normal","iscU_Normal","oxyR_Normal","putA_Normal","mlaE_Normal","barA_Normal","crr_Normal","mioC_Normal","uhpA_Normal","yibB.rfaD_Normal","yhjK_Normal","yihT_Normal","ydcI_Normal","fadH_Normal","dusB_Normal","ylbE1_Normal","ftsE_Normal","nagA_Normal","yiiD.yiiE_Normal","yjbM_Normal","gltB_Normal","bcsZ_Normal","hscA_Normal","ybiO_Normal","ygdH.sdaC_Normal","fucAO.fucPIKUR_Normal","ydeO_Normal","thiG_Normal","nrdF_Normal","cfa_Normal","lrp_Normal","yjeH.groS_Normal","yhiD_Normal","gltA_Normal","ydfC.dicB_Normal","lolC_Normal","dnaE_Normal","rihB_Normal","fre_Normal","yehQ_Normal","sapA_Normal","rnr_Normal","ydaM_Normal","cheR_Normal","cysD_Normal","ilvC_Normal","mnmC_Normal","nac_Normal","nlpD_Normal","wecC_Normal","yehB_Normal","xanQ_Normal","yidD_Normal","atoE_Normal","citC_Normal","dbpA_Normal","lsrA_Normal","flgA_Normal","helD_Normal","lldP_Normal","yjgR_Normal","mutH_Normal","plsB_Normal","pyrD_Normal","qseC_Normal","rluD_Normal","wzxE_Normal","ybeM_Normal","ydaN_Normal","yhgF_Normal","ylcE_Normal","ypdB_Normal","paaJ.paaK_Normal","phoU.bglG_Normal","ygdD_Normal","kduI_Normal","yfhR.csiE_Normal","fklB.cycA_Normal","ydiY.pfkB_Normal","btuE_Normal","hemN_Normal","hisC_Normal","ydaC_Normal","Pert.pgi.edd.qor.udhA_Normal","Growth_Rate","Basal_Growth_Rate","X.1"
"29",5,"MD143","17086184-5",34,1,NA,NA,NA,NA,1,NA,NA,30,NA,0.2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.276,0.269,""
"39",1,"MD078","20975944-1",52,1,NA,1,NA,NA,NA,NA,NA,37,1,NA,0.4,NA,NA,1,NA,NA,NA,2,25,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.44,0.44,""
"45",1,"MD150","21205901-1",58,1,NA,1,NA,NA,NA,NA,NA,37,NA,NA,0.5,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6,0.6,""
"55",6,"MD139","19849850-1",167,1,NA,NA,NA,NA,1,NA,NA,30,NA,NA,NA,0.2,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.23,0.23,""
